uuid,datetime,species,number_morbidity,disease_id,number_mortality,total_number_cases,location
f561da15-093d-47c2-85c3-57fe5c9756ae,2021-05-03 13:03:04,buffalo,2,3,2,4,Health Centre A
3d955abe-d1e5-4693-be7e-705514f9b22b,2021-05-07 17:57:20,buffalo,6,0,3,9,Village 3
d91226c9-f6fd-4b10-89e9-7c17a61bf9d4,2021-05-06 15:35:33,pig,3,7,5,8,Village 2
d924d6fa-3c9f-4c8a-bd5c-41ee5620ade4,2021-05-02 18:39:48,buffalo,4,8,4,8,Health Centre A
b20d66e7-5bdf-4b59-a42b-903edc8d975a,2021-04-28 16:25:45,pig,4,1,3,7,Health Centre A
80f45d31-dc55-418a-b506-d425d3c624ee,2021-05-02 12:03:06,buffalo,2,5,2,4,Health Centre B
2f1f12c9-e89e-41c6-8e8b-a894becd2872,2021-05-05 15:38:34,buffalo,1,8,5,6,Village 3
5123f472-a744-4a28-93ab-a28634f5678e,2021-05-09 11:53:15,chicken,3,4,2,5,Village 2
fb61060b-6fad-4952-8f51-0360b214feb3,2021-05-07 14:00:58,chicken,4,9,5,9,Health Centre B
413ef91b-3d65-4db7-88af-2106e37878ef,2021-04-28 11:23:11,chicken,2,4,3,5,Health Centre B
5531b4ea-92c0-4685-b29e-1d5879fbea3d,2021-05-02 16:16:26,cat,5,2,4,9,Village 3
52a09cdd-2b8f-4ce3-a6ab-07f0cb53350f,2021-04-28 10:51:29,sheep,4,9,5,9,Health Centre B
01b4aa5c-cbd6-486d-a19a-9d6d3722732f,2021-05-10 15:31:17,pig,3,7,4,7,Village 1
3425abd1-7e52-4d03-ad67-da24a6de79d4,2021-05-04 18:52:23,sheep,5,4,5,10,Village 1
48d7bc70-1f28-4b0a-bb1b-929062e09b3a,2021-05-06 13:09:51,chicken,4,0,3,7,Health Centre B
63238c84-80ea-4d2d-94a9-bba5511ba2b9,2021-05-03 10:47:15,cat,2,9,0,2,Village 1
35a0a49d-7e9a-4acf-b45f-5bfa7aeb3dfb,2021-05-06 15:43:55,pig,1,6,0,1,Village 2
77f290ef-5be6-427c-8975-1fcb300af149,2021-05-04 13:32:48,chicken,4,1,4,8,Village 3
15a7d7bf-b7c6-4b15-9b45-2b73db3f5ee1,2021-05-06 16:49:39,sheep,1,1,1,2,Village 1
a22293da-7b77-43b8-84f4-dcaca99a754b,2021-05-11 09:11:17,buffalo,1,9,4,5,Village 1
3b3e365d-10ad-4d79-9f8c-6fc5ee46ade0,2021-05-04 17:16:40,chicken,6,9,3,9,Village 3
47e8e058-cbc3-47ee-99a9-563a4a174d9f,2021-04-28 16:05:44,chicken,1,3,2,3,Village 1
c9ebfe10-1364-45c0-906f-fb7f003ff6a9,2021-05-01 12:59:28,cat,6,8,0,6,Village 2
722d428e-409f-4e84-9537-8186781729a6,2021-05-10 17:57:34,dog,1,8,2,3,Village 1
8049f526-47b7-4578-9da5-5cf0ff7c9d3c,2021-05-03 13:07:30,pig,5,2,4,9,Health Centre A
48b75542-1867-4f87-940a-8f8688fa764d,2021-05-07 10:46:23,cat,6,1,3,9,Village 1
2968fd7f-71f2-4d77-91ec-33e3c9c624f4,2021-05-01 16:44:34,buffalo,1,3,1,2,Health Centre B
